Version,Dataset,Robot,# Episodes,File Size (GB),Robot Morphology,Gripper,Action Space,# RGB Cams,# Depth Cams,# Wrist Cams,Language Annotations,Data Collect Method,Has Suboptimal?,Has Camera Calibration?,Has Proprioception?,Scene Type,Control Frequency,Registered Dataset Name,Citation,Latex Reference,Description,,
v1.0,RT-1 Robot Action,Google Robot,73499,111.06,Mobile Manipulator,Default,EEF Position,1,1,0,Templated,Human VR,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",3,fractal20220817_data,"@article{brohan2022rt,
  title={Rt-1: Robotics transformer for real-world control at scale},
  author={Brohan, Anthony and Brown, Noah and Carbajal, Justice and Chebotar, Yevgen and Dabis, Joseph and Finn, Chelsea and Gopalakrishnan, Keerthana and Hausman, Karol and Herzog, Alex and Hsu, Jasmine and others},
  journal={arXiv preprint arXiv:2212.06817},
  year={2022}
}",brohan2022rt,"Robot picks, places and moves 17 objects from the google micro kitchens.",,
v1.0,QT-Opt,Kuka iiwa,580392,778.02,Single Arm,Default,EEF Position,1,0,0,None,Expert Policy,No,No,Yes,Table Top,10,kuka,"@article{kalashnikov2018qt,
  title={Qt-opt: Scalable deep reinforcement learning for vision-based robotic manipulation},
  author={Kalashnikov, Dmitry and Irpan, Alex and Pastor, Peter and Ibarz, Julian and Herzog, Alexander and Jang, Eric and Quillen, Deirdre and Holly, Ethan and Kalakrishnan, Mrinal and Vanhoucke, Vincent and others},
  journal={arXiv preprint arXiv:1806.10293},
  year={2018}
}",kalashnikov2018qt,Kuka robot picking objects in a bin.,,
v1.0,Berkeley Bridge,WidowX,25460,387.49,Single Arm,Default,EEF Position,4,1,1,Natural,Human VR,Yes,No,Yes,"Table Top, Kitchen (also toy kitchen), Other Household environments",5,bridge,"@inproceedings{walke2023bridgedata,
    title={BridgeData V2: A Dataset for Robot Learning at Scale},
    author={Walke, Homer and Black, Kevin and Lee, Abraham and Kim, Moo Jin and Du, Max and Zheng, Chongyi and Zhao, Tony and Hansen-Estruch, Philippe and Vuong, Quan and He, Andre and Myers, Vivek and Fang, Kuan and Finn, Chelsea and Levine, Sergey},
    booktitle={Conference on Robot Learning (CoRL)},
    year={2023}
}",walke2023bridgedata,"The robot interacts with household environments including kitchens, sinks, and tabletops. Skills include object rearrangement, sweeping, stacking, folding, and opening/closing doors and drawers. ",,
v1.0,Freiburg Franka Play,Franka,3242,47.77,Single Arm,Custom 3D printed,EEF Position,2,2,2,Templated,Human VR,No,Yes,Yes,Table Top,15,taco_play,"@inproceedings{rosete2022tacorl,
author = {Erick Rosete-Beas and Oier Mees and Gabriel Kalweit and Joschka Boedecker and Wolfram Burgard},
title = {Latent Plans for Task Agnostic Offline Reinforcement Learning},
journal = {Proceedings of the 6th Conference on Robot Learning (CoRL)},
year = {2022}
}
@inproceedings{mees23hulc2,
title={Grounding  Language  with  Visual  Affordances  over  Unstructured  Data},
author={Oier Mees and Jessica Borja-Diaz and Wolfram Burgard},
booktitle = {Proceedings of the IEEE International Conference on Robotics and Automation (ICRA)},
year={2023},
address = {London, UK}
}","rosete2022tacorl, mees23hulc2","""The robot interacts with toy blocks, it pick and places them, stacks them, unstacks them, opens drawers, sliding doors and turrns on LED lights by pushing buttons.""",,
v1.0,USC Jaco Play,Jaco 2,976,9.24,Single Arm,Default,EEF Position,2,0,1,Templated,Human VR,No,No,Yes,"Table Top, Kitchen (also toy kitchen)",10,jaco_play,"@software{dass2023jacoplay,
  author = {Dass, Shivin and Yapeter, Jullian and Zhang, Jesse and Zhang, Jiahui
            and Pertsch, Karl and Nikolaidis, Stefanos and Lim, Joseph J.},
  title = {CLVR Jaco Play Dataset},
  url = {https://github.com/clvrai/clvr_jaco_play_dataset},
  version = {1.0.0},
  year = {2023}
}",dass2023jacoplay,"The robot performs pick-place tasks in a tabletop toy kitchen environment. Some examples of the task include, ""Pick up the orange fruit."", ""Put the black bowl in the sink.""",,
v1.0,Berkeley Cable Routing,Franka,1482,4.67,Single Arm,Default,EEF velocity,3,0,2,None,Human VR,No,No,Yes,Table Top,10,berkeley_cable_routing,"@article{luo2023multistage,
  author    = {Jianlan Luo and Charles Xu and Xinyang Geng and Gilbert Feng and Kuan Fang and Liam Tan and Stefan Schaal and Sergey Levine},
  title     = {Multi-Stage Cable Routing through Hierarchical Imitation Learning},
  journal   = {arXiv pre-print},
  year      = {2023},
  url       = {https://arxiv.org/abs/2307.08927},
}",luo2023multistage,The robot routes cable through a number of tight-fitting clips mounted on the table.,,
v1.0,Roboturk,Sawyer,2144,45.39,Single Arm,Default,EEF Position,2,1,0,Templated,Human VR,No,No,Yes,Table Top,10,roboturk,"@inproceedings{mandlekar2019scaling,
          title={Scaling robot supervision to hundreds of hours with roboturk: Robotic manipulation dataset through human reasoning and dexterity},
          author={Mandlekar, Ajay and Booher, Jonathan and Spero, Max and Tung, Albert and Gupta, Anchit and Zhu, Yuke and Garg, Animesh and Savarese, Silvio and Fei-Fei, Li},
          booktitle={2019 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS)},
          pages={1048--1055},
          year={2019},
          organization={IEEE}
        }",mandlekar2019scaling,"Sawyer robots flattens laundry, builds towers from bowls and searches objects.",,
v1.0,NYU VINN,Hello Stretch,435,7.12,Mobile Manipulator,Default,EEF Position,1,0,1,None,Human Kinesthetic,Yes,Yes,No,"Kitchen (also toy kitchen), Other Household environments",3,nyu_door_opening_surprising_effectiveness,"@misc{pari2021surprising,
    title={The Surprising Effectiveness of Representation Learning for Visual Imitation}, 
    author={Jyothish Pari and Nur Muhammad Shafiullah and Sridhar Pandian Arunachalam and Lerrel Pinto},
    year={2021},
    eprint={2112.01511},
    archivePrefix={arXiv},
    primaryClass={cs.RO}
}",pari2021surprising,The robot opens cabinet doors for a variety of cabinets.,,
v1.0,Austin VIOLA,Franka,135,10.4,Single Arm,Default,EEF Position,2,0,1,Templated,Human Spacemouse,No,No,Yes,Table Top,20,viola,"@article{zhu2022viola,
  title={VIOLA: Imitation Learning for Vision-Based Manipulation with Object Proposal Priors},
  author={Zhu, Yifeng and Joshi, Abhishek and Stone, Peter and Zhu, Yuke},
  journal={6th Annual Conference on Robot Learning (CoRL)},
  year={2022}
}",zhu2022viola,"The robot performs various household-like tasks, such as setting up the table, or making coffee using a coffee machine. ",,
v1.0,Berkeley Autolab UR5,UR5,896,76.39,Single Arm,Robotiq 2F-85,EEF Position,2,1,1,Templated,Human Spacemouse,No,No,Yes,Table Top,5,berkeley_autolab_ur5,"@misc{BerkeleyUR5Website,
  title = {Berkeley {UR5} Demonstration Dataset},
  author = {Lawrence Yunliang Chen and Simeon Adebola and Ken Goldberg},
  howpublished = {https://sites.google.com/view/berkeley-ur5/home},
}",BerkeleyUR5Website,"The data consists of 4 robot manipulation tasks: simple pick-and-place of a stuffed animal between containers, sweeping a cloth, stacking cups, and a more difficult pick-and-place of a bottle that requires precise grasp and 6DOF rotation",,
